HASC_2,Max,Mean,Min
US.ME.PE,0.2192898839712143,0.015171517017901542,0.0
US.ME.PI,0.19165462255477905,0.03318717964784178,0.0
US.ME.SA,0.046231918036937714,0.009972164597517501,0.0
US.ME.SO,0.1893174946308136,0.021590570246560824,0.0
US.ME.WL,0.24372175335884094,0.04746373470905902,0.0
US.ME.WS,0.2198978215456009,0.017839172209738074,0.0
US.ME.YO,0.02908317744731903,0.003108700843739598,0.0
US.MD.AL,0.0,0.0,0.0
US.MD.AN,0.09818614274263382,0.020288318562476586,0.0
US.MD.BA,0.155885711312294,0.024890724796153205,0.0
US.MD.CL,0.08438217639923096,0.014344219797446081,0.0
US.MD.CO,0.02202812023460865,0.004696920431645897,0.0
US.MD.CR,0.030598508194088936,0.002495700471384528,0.0
US.MD.CE,0.010033026337623596,0.002107955073006451,0.0
US.MD.CH,0.017280686646699905,0.0034317769680845753,0.0
US.MD.DO,0.09810864925384521,0.032619405689896366,0.0
US.MD.FR,0.0008929335162974894,5.359908235342508e-05,0.0
US.MD.GA,0.0,0.0,0.0
US.MD.HA,0.05087502673268318,0.008332310468540527,0.0
US.MD.HO,0.06671735644340515,0.014379678365912696,0.0
US.MD.KE,0.0017122520366683602,0.00015303098680305994,0.0
US.MD.MO,0.051680050790309906,0.008293243786335681,0.0
US.MD.PR,0.0717354267835617,0.0077192548113608995,0.0
US.MD.QU,0.0038388047832995653,0.0006457770150897583,0.0
US.MD.SA,0.17375537753105164,0.024991168760607252,0.0
US.MD.SO,0.19905255734920502,0.0451700581636812,0.0
US.MD.TA,0.05117202177643776,0.010959590775504088,0.0
US.MD.WA,0.0,0.0,0.0
US.MD.WI,0.08638668805360794,0.011957868617693228,0.0
US.MD.WO,0.4209802746772766,0.08457295206331071,0.0
US.MA.BA,0.760405421257019,0.20028085066449075,0.0
US.MA.BE,0.10555681586265564,0.03042223921303438,0.0
US.MA.BR,0.1706133335828781,0.012825620583034648,0.0
US.MA.DU,0.676892876625061,0.1823874174484185,0.0
US.MA.ES,0.057039208710193634,0.007282030715335471,0.0
US.MA.FR,0.10555681586265564,0.012802131044898286,0.0
US.MA.HD,0.0075327674858272076,0.0008875989463955524,0.0
US.MA.HS,0.10555681586265564,0.009581741111032898,0.0
US.MA.MI,0.07425431162118912,0.016542944327011356,0.0
US.MA.NA,1.2312346696853638,0.4860351582368215,0.0
US.MA.NO,0.030693549662828445,0.0038414329580518823,0.0
US.MA.PL,0.13824017345905304,0.011078796564561344,0.0
US.MA.SU,0.02426268346607685,0.0057683196318976115,0.0
US.MA.WO,0.1140570193529129,0.0129083980140826,0.0
US.MI.AC,0.02500937692821026,0.0028946132388747562,0.0
US.MI.AG,0.0942099466919899,0.008069059032025577,0.0
US.MI.AL,0.05876179412007332,0.006760454007760725,0.0
US.MI.AP,0.0409599132835865,0.012050202719365188,0.0
US.MI.AN,0.06688889116048813,0.005562842342502942,0.0
US.MI.AR,0.0017777776811271906,0.0001646048697563986,0.0
US.MI.BA,0.003762761363759637,0.00036422600039389053,0.0
US.MI.BR,0.007569367531687021,0.00199996538402047,0.0
US.MI.BY,0.034249406307935715,0.005898431166618441,0.0
US.MI.BE,0.004888888914138079,0.0008257158430448422,0.0
US.MI.BN,0.05476149544119835,0.0036516509742276475,0.0
US.MI.BC,0.031082211062312126,0.011941881607829904,0.0
US.MI.CU,0.03311033919453621,0.0038215266769319506,0.0
US.MI.CS,0.004533137660473585,0.001102657275623642,0.0
US.MI.CV,0.02079913765192032,0.001014430262936609,0.0
US.MI.CY,0.3651789724826813,0.048533345106989145,0.0
US.MI.CP,0.3349657952785492,0.03034731584549364,0.0
US.MI.CE,0.0427672378718853,0.007022091756031538,0.0
US.MI.CN,0.01777777634561062,0.006049523130059242,0.0
US.MI.CF,0.01571628451347351,0.0043990796140860764,9.12495597731322e-05
US.MI.DE,0.0024444444570690393,0.00019405284911044873,0.0
US.MI.DI,0.0,0.0,0.0
US.MI.EA,0.007333333138376474,0.0007056545553496107,0.0
US.MI.EM,0.05088966339826584,0.012714137598070212,0.0
US.MI.GE,0.08302843570709229,0.029095298536121847,0.0
US.MI.GL,0.023555554449558258,0.0024368301872164013,0.0
US.MI.GO,0.0017777776811271906,5.086815363029018e-05,0.0
US.MI.GN,0.08622221648693085,0.010894942671358068,0.0
US.MI.GT,0.023759720847010612,0.007913132186513395,0.0
US.MI.HI,0.013070900924503803,0.0025012095191050323,0.0
US.MI.HO,0.005999999586492777,0.0004419012255513937,0.0
US.MI.HU,0.0712352842092514,0.009374085935996845,0.0
US.MI.IH,0.04527965560555458,0.01429145088380513,0.0
US.MI.II,0.006055493373423815,0.00043123256182298064,0.0
US.MI.IC,0.006416769232600927,0.0002861104627040082,0.0
US.MI.IR,0.0017215192783623934,3.609939497740318e-05,0.0
US.MI.IB,0.03252067416906357,0.005025000698272682,0.0
US.MI.JA,0.020297914743423462,0.0018336586841282301,0.0
US.MI.KA,0.03311033919453621,0.009390806497928375,0.0
US.MI.KK,0.08622221648693085,0.010700715472921729,0.0
US.MI.KN,0.006055493373423815,0.0005503579901010704,0.0
US.MI.KW,0.023386359214782715,0.0009102393356222434,0.0
US.MI.LK,0.37022221088409424,0.09523890205047791,0.0
US.MI.LP,0.04315938055515289,0.02307513894047588,0.0
US.MI.LE,0.0026666666381061077,0.00027088130855190684,0.0
US.MI.LN,0.0024275423493236303,0.0004801122687890061,0.0
US.MI.LI,0.08302843570709229,0.03648844032237927,0.0
US.MI.LU,0.09285467863082886,0.02732002127699421,0.0
US.MI.MK,0.3651789724826813,0.017272684306749796,0.0
US.MI.MB,0.10134021192789078,0.03531000862518947,0.0
US.MI.ME,0.004888888914138079,0.0007371584904051685,0.0
US.MI.MQ,0.0026666666381061077,0.00018284358911616497,0.0
US.MI.MN,0.02049613744020462,0.0031283252363209614,0.0
US.MI.MT,0.06044444441795349,0.013756300211146785,0.0
US.MI.MM,3.7846835766686127e-05,5.406690823812304e-07,0.0
US.MI.MD,0.018666664138436317,0.0038661458529531956,0.0
US.MI.MU,0.05711111053824425,0.006827350245293929,0.0
US.MI.MO,0.015092285349965096,0.002750992591609247,0.0
US.MI.MC,0.010831217281520367,0.0016617346249404364,0.0
US.MI.MR,0.04321926087141037,0.021109968792491902,0.0046780225820839405
US.MI.MG,0.049410365521907806,0.007136723647090548,0.0
US.MI.NE,0.002496445784345269,0.0004445752025882636,0.0
US.MI.OD,0.12345116585493088,0.06263127754486743,0.006888888776302338
US.MI.OA,0.05411136895418167,0.012215117470380695,0.0
US.MI.OG,0.029702192172408104,0.007581852263077356,0.0
US.MI.ON,0.0017777776811271906,4.094454330201684e-05,0.0
US.MI.OE,0.37022221088409424,0.09283584044314921,0.0
US.MI.OO,0.026283161714673042,0.008008179578609997,0.0
US.MI.OS,0.02789711393415928,0.004950767720098763,0.0
US.MI.OT,0.007399303838610649,0.001474606624833541,0.0
US.MI.PR,0.12786123156547546,0.022693808819167317,0.0
US.MI.RO,0.04644444212317467,0.013994943057999384,0.0
US.MI.SG,0.07233733683824539,0.023867261508712545,0.0
US.MI.SA,0.0649990364909172,0.019264806652375097,0.0
US.MI.SJ,0.02434563636779785,0.00563240204549705,0.0
US.MI.SL,0.0649990364909172,0.00971250697399401,0.0
US.MI.SR,0.0942099466919899,0.007047344479644835,0.0
US.MI.SH,0.04582749307155609,0.02442349260672927,0.01190592348575592
US.MI.TU,0.0600564070045948,0.01280530986037948,0.0
US.MI.VA,0.05876179412007332,0.008057236737970794,0.0
US.MI.WS,0.03244444355368614,0.007343972941660988,0.0
US.MI.WY,0.10134021192789078,0.022276307242767263,0.0
US.MI.WE,0.2988888919353485,0.03950080929341008,0.0
US.MN.AI,0.06816882640123367,0.0021979874639518927,0.0
US.MN.AN,0.012888888828456402,0.000437108274976102,0.0
US.MN.BC,0.01002994179725647,0.0009873260242977376,0.0
US.MN.BT,0.03902960196137428,0.005367432275633268,0.0
US.MN.BN,0.0007395307766273618,0.00020943256510820772,0.0
US.MN.BI,0.1377762407064438,0.006483795656458824,0.0
US.MN.BE,0.0007584577542729676,4.1134307892727e-05,0.0
US.MN.BR,0.0,0.0,0.0
US.MN.CL,0.07666666060686111,0.0135163242294867,0.0
US.MN.CV,0.005946440622210503,0.0002642651896167081,0.0
US.MN.CS,0.013586151413619518,0.0015263043469594714,0.0
US.MN.CP,0.0,0.0,0.0
US.MN.CG,0.05239357054233551,0.010099557117791846,0.0
US.MN.CA,0.0026681027375161648,0.00023341222230537453,0.0
US.MN.CE,0.035263776779174805,0.011243705165106803,0.0
US.MN.CO,0.002719882410019636,7.228815189819215e-05,0.0
US.MN.CT,0.0,0.0,0.0
US.MN.CW,0.012444444932043552,0.003227354563821383,0.0
US.MN.DA,2.8899190510855988e-05,2.4770734723590847e-06,0.0
US.MN.DD,0.0,0.0,0.0
US.MN.DU,0.0016453645657747984,0.00012628730473807082,0.0
US.MN.FA,0.0,0.0,0.0
US.MN.FI,0.0007584577542729676,3.9562717494037414e-05,0.0
US.MN.FR,0.0,0.0,0.0
US.MN.GO,2.8899190510855988e-05,1.0703403892909624e-06,0.0
US.MN.GR,0.0036107341293245554,0.0004971721583236407,0.0
US.MN.HE,0.0,0.0,0.0
US.MN.HO,0.0,0.0,0.0
US.MN.HU,0.011048118583858013,0.003684985531782288,0.0
US.MN.IS,0.026192307472229004,0.007305325158085907,0.0
US.MN.IT,6.410269270418212e-05,4.578763764584437e-07,0.0
US.MN.JA,0.0,0.0,0.0
US.MN.KA,0.11478812247514725,0.015585676879466822,0.0
US.MN.KD,0.0,0.0,0.0
